CustomerID,Gender,Age,Date,Annual Income ($), Spends  ,Average_Spend,Purchase_Frequency,Segment,Work Experience,Family Size
1,Male,19,11/11/2021,15000, 384.62 ," 5,146.03 ",39,Healthcare,1,4
2,Male,21,27/05/2021,35000, 432.10 ," 5,146.03 ",81,Engineer,3,3
3,Female,20,18/05/2021,86000," 14,333.33 "," 5,146.03 ",6,Engineer,1,1
4,Female,23,14/01/2020,59000, 766.23 ," 5,146.03 ",77,Lawyer,0,2
5,Female,31,16/10/2021,38000, 950.00 ," 5,146.03 ",40,Entertainment,2,6
6,Female,22,16/12/2021,58000, 763.16 ," 5,146.03 ",76,Artist,0,2
7,Female,35,18/02/2021,31000," 5,166.67 "," 5,146.03 ",6,Healthcare,1,3
8,Female,23,01/09/2020,84000, 893.62 ," 5,146.03 ",94,Healthcare,1,3
9,Male,64,01/09/2020,97000," 32,333.33 "," 5,146.03 ",3,Engineer,0,3
10,Female,30,15/04/2022,98000," 1,361.11 "," 5,146.03 ",72,Artist,1,4
11,Male,67,17/10/2021,7000, 500.00 ," 5,146.03 ",14,Engineer,1,3
12,Female,35,11/09/2020,93000, 939.39 ," 5,146.03 ",99,Healthcare,4,4
13,Female,58,08/06/2020,80000," 5,333.33 "," 5,146.03 ",15,Executive,0,5
14,Female,24,30/05/2020,91000," 1,181.82 "," 5,146.03 ",77,Lawyer,1,1
15,Male,37,15/09/2020,19000," 1,461.54 "," 5,146.03 ",13,Doctor,0,1
16,Male,22,01/02/2021,51000, 645.57 ," 5,146.03 ",79,Healthcare,1,2
17,Female,35,25/04/2020,29000, 828.57 ," 5,146.03 ",35,Homemaker,9,5
18,Male,20,27/11/2020,89000," 1,348.48 "," 5,146.03 ",66,Healthcare,1,6
19,Male,52,18/06/2020,20000, 689.66 ," 5,146.03 ",29,Entertainment,1,4
20,Female,35,16/05/2022,62000, 632.65 ," 5,146.03 ",98,Artist,0,1
21,Male,35,10/07/2021,96000," 2,742.86 "," 5,146.03 ",35,Homemaker,12,1
22,Male,25,02/03/2020,4000, 54.79 ," 5,146.03 ",73,Healthcare,3,4
23,Female,46,03/07/2020,42000," 8,400.00 "," 5,146.03 ",5,Artist,13,2
24,Male,31,10/10/2022,71000, 972.60 ," 5,146.03 ",73,Artist,5,2
25,Female,54,09/04/2022,67000," 4,785.71 "," 5,146.03 ",14,Executive,1,3
26,Male,29,06/11/2021,52000, 634.15 ," 5,146.03 ",82,Artist,1,3
27,Female,45,29/04/2021,68000," 2,125.00 "," 5,146.03 ",32,Healthcare,9,8
28,Male,35,16/07/2022,78000," 1,278.69 "," 5,146.03 ",61,Artist,1,3
29,Female,40,04/10/2022,18000, 580.65 ," 5,146.03 ",31,Artist,0,1
30,Female,23,28/06/2021,20000, 229.89 ," 5,146.03 ",87,Artist,5,4
31,Male,60,05/12/2020,39000," 9,750.00 "," 5,146.03 ",4,Artist,0,3
32,Female,21,06/11/2022,34000, 465.75 ," 5,146.03 ",73,Doctor,1,2
33,Male,53,03/02/2022,59000," 14,750.00 "," 5,146.03 ",4,Healthcare,1,3
34,Male,18,23/01/2021,62000, 673.91 ," 5,146.03 ",92,Homemaker,9,7
35,Female,49,15/01/2021,91000," 6,500.00 "," 5,146.03 ",14,Lawyer,1,2
36,Female,21,16/08/2021,95000," 1,172.84 "," 5,146.03 ",81,Healthcare,3,4
37,Female,42,16/02/2020,14000, 823.53 ," 5,146.03 ",17,Doctor,5,1
38,Female,30,23/05/2022,62000, 849.32 ," 5,146.03 ",73,Healthcare,1,5
39,Female,36,30/11/2022,9000, 346.15 ," 5,146.03 ",26,Artist,8,2
40,Female,20,01/06/2021,69000, 920.00 ," 5,146.03 ",75,Artist,8,2
41,Female,65,25/10/2022,25000, 714.29 ," 5,146.03 ",35,Artist,4,1
42,Male,24,10/07/2022,85000, 923.91 ," 5,146.03 ",92,Healthcare,0,2
43,Male,48,05/02/2020,22000, 611.11 ," 5,146.03 ",36,Artist,14,3
44,Female,31,23/09/2021,33000, 540.98 ," 5,146.03 ",61,Artist,1,2
45,Female,49,25/12/2022,72000," 2,571.43 "," 5,146.03 ",28,Engineer,8,1
46,Female,24,14/12/2020,3000, 46.15 ," 5,146.03 ",65,Lawyer,4,2
47,Female,50,12/10/2021,52000, 945.45 ," 5,146.03 ",55,Artist,0,4
48,Female,27,29/05/2020,71000," 1,510.64 "," 5,146.03 ",47,Healthcare,12,1
49,Female,29,27/10/2021,78000," 1,857.14 "," 5,146.03 ",42,Healthcare,0,4
50,Female,31,07/08/2022,25000, 595.24 ," 5,146.03 ",42,Engineer,1,1
